"sutterellaceae","desulfovibrionaceae","prevotellaceae","bacteroidaceae","porphyromonadaceae","rikenellaceae","verrucomicrobiaceae","bifidobacteriaceae","coriobacteriaceae","streptococcaceae","erysipelotrichaceae","lachnospiraceae","clostridiaceae_1","peptostreptococcaceae","ruminococcaceae","veillonellaceae","acidaminococcaceae","methanobacteriaceae"
"ERR2836475",79,19,208,108,42,1,1,1,140,61,22,83,266,1,145,27,1,1
"ERR2836476",44,2,17,67,2,1,1,1,195,21,241,63,113,1,114,33,34,1
"ERR2836477",1,2,2,85,43,65,1,1,149,1,74,10,7,1,361,77,1,1
"ERR2836479",73,9,2,16,2,1,1,25,260,29,119,97,39,1,202,307,1,1
"ERR2836480",109,8,746,43,8,1,1,670,663,55,3,79,2,18,135,36,1,1
"ERR2836481",364,27,15,684,89,1,1,1,139,20,32,311,40,258,64,1,1,1
"ERR2836482",296,37,2,352,86,206,1,1,230,20,3,99,2,1,261,193,1,1
"ERR2836483",71,9,2,3,68,1,1,52,56,45,267,36,2,1,184,1,1,1
"ERR2836484",1,108,2,3,50,1,1,147,117,40,3,56,2,1,294,1,1,4
"ERR2836485",1,2,2,31,8,1,12,23,3,7,3,3,2,1,50,45,1,1
"ERR2836486",1,2,2,66,2,41,1,119,3,27,15,62,92,1,33,1,1,1
"ERR2836487",1,2,106,16,12,1,1,167,752,1,494,28,45,5,184,285,1,37
"ERR2836488",1,19,19,237,118,46,156,1,309,35,73,27,56,1,445,93,83,1
"ERR2836489",55,8,97,146,32,9,68,1,181,35,227,3,236,1,83,56,41,1
"ERR2836490",44,2,623,108,17,1,1,1,933,1,594,51,6,16,83,856,1,1
"ERR2836491",1,49,2,630,117,44,988,1,140,60,3,52,157,1,87,1,356,1
"ERR2836492",1,50,26,135,2,168,27,72,436,93,3,101,41,1,152,1,199,1
"ERR2836493",714,4913,124,205,6396,101,1,1,16033,360,4398,3051,2,1,20687,1,1,1
"ERR2836494",60,31,2,61,32,1,1,47,26,1,3,30,2,1,37,1,1,1
"ERR2836495",1,2,2,23,2,1,1,1,34,1,13,60,2,1,7,1,32,1
"ERR2836496",1,56,2,53,2,1,202,1,48,7,3,26,20,1,101,1,79,1
"ERR2836497",1,2,2,3,2,1,1,1,3,1,3,3,2,1,7,1,1,1
"ERR2836498",1,2,2,54,2,1,4,1,3,1,3,3,2,1,26,1,1,1
"ERR2836499",1,52,2,47,156,1,1,1,504,1,71,44,158,1,624,1,83,1
"ERR2836500",33,27,2,14,2,69,54,178,108,51,756,71,2,1,79,258,5,10
"ERR2836501",1,2,2,22,2,1,1,1,11,1,3,67,7,1,7,1,1,1
"ERR2836502",1,22,2,517,2,94,90,35,48,1,27,19,2,1,59,1,1,1
"ERR2836503",1,2,2,3,2,1,237,1,3,128,5,42,2,1,42,1,521,1
"ERR2836504",1,91,2,97,2,115,175,1,36,1,3,130,2,1,81,1,136,1
"ERR2836505",1,12,2,555,2,12,1,1,15,9,17,40,2,1,49,16,9,8
"ERR2836506",1,2,2,89,2,1,1,29,24,1,3,11,2,1,185,1,1,10
"ERR2836507",116,91,120,3,20,98,24,1,111,1,199,54,2,1,389,212,1,168
"ERR2836508",1,6,56,316,95,1,27,1,273,51,65,269,64,1,170,45,160,1
"ERR2836509",1,51,6,1072,327,1,1,1,3,1,3,1122,2,1,85,1,718,1
"ERR2836510",1,2,2,92,19,1,19,1,51,1,46,3,2,1,95,1,1,42
"ERR2836511",1,2,2,138,15,1,1,1,558,133,3,23,2,1,58,1,45,1
"ERR2836512",1,2,2,3,2,1,1,1,3,91,3,3,2,1,7,1,32,1
"ERR2836513",1,25,2,3,28,9,1,1,251,216,3,81,2,1,153,13,147,1
"ERR2836514",26,2,136,3,14,1,1,1,9,1,51,21,2,1,113,1,1,1
"ERR2836515",40,11,2,72,2,66,21,35,335,52,46,81,38,1,98,32,49,1
"ERR2836516",1,2,2,56,10,1,34,297,361,37,3,139,10,1,101,1,14,1
"ERR2836517",9,6,2,85,2,1,1,412,965,405,3,212,2,1,35,1,13,1
"ERR2836518",1,2,2,43,2,11,1,1,13,111,3,275,122,1,7,1,8,1
"ERR2836519",158,79,2,68,2,1,1,1,268,481,3,10,19,1,25,1,406,1
"ERR2836520",1,2,2,62,2,101,1,1,38,39,3,41,2,1,64,1,211,35
"ERR2836521",1,2,2,3,33,1,1,449,862,205,179,22,2,1,63,312,1,1
"ERR2836522",148,67,24,263,49,70,1,71,465,165,50,261,116,1,338,89,31,5
"ERR2836523",209,2,14,7,129,38,1,73,557,84,132,44,15,1,288,81,10,1
"ERR2836524",1,6,2,3,13,1,1,461,130,34,79,66,2,1,122,95,1,1
"ERR2836525",171,2,2,3,65,22,1,70,367,106,108,20,2,1,244,25,1,1
"ERR2836526",1,2,184,79,7,6,15,1,452,86,125,25,12,15,73,192,1,1
"ERR2836527",110,2,43,10,6,1,1,1,191,1,80,36,67,1,36,117,1,1
"ERR2836528",1,2,159,9,2,1,1,1,21,1,31,3,2,1,57,55,1,1
"ERR2836529",1,14,2,10,2,1,1,1,1256,1,3,26,2,1,56,1,1,1
"ERR2836530",101,80,2,3,31,347,84,234,741,144,7,17,32,5,184,80,1,1
"ERR2836531",1,49,2,3,2,1,1,229,3,70,27,33,2,1,59,1,1,1
"ERR2836532",1,55,2,117,88,1,1,1,77,33,3,76,17,37,242,1,1,1279
"ERR2836533",1,2,2,244,187,1,1,1,50,1,23,3,2,1,35,1,1,1
"ERR2836534",1,47,2,186,9,257,1,327,161,93,3,143,57,1,341,1,1,776
"ERR2836535",1,2,2,48,2,1,1,1,3,1,3,47,2,1,29,1,1,1
"ERR2836536",1,2,2,313,2,1,1,1,3,26,52,48,2,1,30,1,1,1
"ERR2836537",1,5,20,3,16,20,1,259,56,35,57,3,2,1,24,60,61,5
"ERR2836538",1,54,2,61,96,206,83,1086,123,1,3,105,2,1,73,1,1,1
"ERR2836539",1,30,2,3,67,1,174,1,32,1,3,38,2,1,16,1,1,1
"ERR2836540",115,2,2,135,41,1,24,44,49,17,16,366,23,1,7,1,1,1
"ERR2836541",129,5,24,84,7,1,1,1,22,41,46,42,49,1,114,1,1,1
"ERR2836542",1,32,39,3,4,1,1,1,27,11,80,28,2,1,118,1,1,11
"ERR2836543",36,2,2,65,2,33,40,99,20,4,3,26,2,1,7,1,1,1
"ERR2836544",1,15,2,3,2,1,1,1,3,27,3,56,2,1,7,1,1,1
"ERR2836545",1,64,2,655,2,1,1,1,3,9,3,598,2,1,66,1,421,1
"ERR2836546",88,2,12,38,10,1,1,1,11,167,36,3,129,1,24,1,1,1
"ERR2836547",66,2,48,24,21,1,1,1,26,27,3,3,2,1,48,1,1,1
"ERR2836548",133,5,2,3,2,1,9,50,1370,385,59,81,94,1,856,1,1,1
"ERR2836549",61,37,50,126,24,59,1,46,378,171,17,99,74,1,197,16,56,11
"ERR2836550",53,2,2,8,2,1,1,1,3,8,3,43,2,1,7,1,1,1
"ERR2836551",67,2,402,3,2,1,1,1,20,12,99,63,2,1,39,155,1,1
"ERR2836552",1,29,2,278,2,76,1,1,18,1,3,107,2,1,7,1,148,1
"ERR2836553",1,2,2,3,18,1,4,36,9,1,3,34,2,1,13,1,1,1
"ERR2836554",1,91,2,67,77,1,1,1,25,64,69,128,2,1,244,1,1,1
"ERR2836555",1,2,2,39,2,1,1,29,51,18,3,120,2,1,13,1,38,1
"ERR2836556",90,120,5,22,5,125,107,1,3,1,94,17,2,1,1442,237,1,31
"ERR2836557",88,2,2,57,2,108,1,204,92,22,6,87,2,1,80,1,133,1
"ERR2836558",1,2,2,298,34,1,1,1,92,497,3,412,13,1,7,1,1,1
"ERR2836559",1,2,2,278,20,1,1,116,9,11,3,16,2,1,31,1,18,1
"ERR2836560",53,2,2,30,2,240,1,102,166,28,3,47,12,1,62,1,121,1
"ERR2836561",1,21,2,1537,71,142,1,1,468,1,3,78,2,63,149,1,437,1
"ERR2836562",65,12,60,20,2,1,1,115,38,1,71,23,2,1,35,1,1,16
"ERR2836564",79,41,104,99,2,1,1,1,144,226,3,20,19,1,197,1,137,1
"ERR2836565",1,44,2,26,39,40,899,83,459,1,170,51,555,33,306,4,1,59
"ERR2836566",117,44,259,28,2,1,1,1,210,1,101,46,276,33,107,254,1,1
"ERR2836567",1,2,2,373,2,1,1,1,3,42,3,46,2,1,14,1,1,1
"ERR2836568",1,77,2,65,2,1,1,38,29,48,3,64,2,1,84,1,107,1
"ERR2836569",1,2,2,3,2,1,1,1,14,1,3,35,2,1,18,1,1,1
"ERR2836570",1,2,2,840,45,1,1,1,242,610,3,76,58,1,27,1,1,1
"ERR2836572",465,51,4,505,2,105,1,1,213,51,105,62,2,1,220,1,292,1
"ERR2836573",101,38,2,749,2,100,1,89,43,5,3,78,2,1,7,9,1,1
"ERR2836574",106,87,2,330,2,368,1,48,565,20,3,88,2,1,121,1,385,1
"ERR2836575",16,45,68,99,10,112,1,1,455,89,165,105,25,1,225,88,72,31
"ERR2836576",1,2,68,23,2,1,1,434,23,76,3,235,2,1,100,47,1,1
"ERR2836577",1,2,2,793,2,1,1,1,142,59,539,187,2,1,29,6,1,1
"ERR2836578",118,2,2,3,38,1,70,93,492,15,11,93,35,1,219,188,1,17
"ERR2836579",1,2,2,26,2,21,1,215,102,38,42,122,2,1,123,1,1,1
"ERR2836580",9,2,10,478,23,1,57,1,539,507,3,96,35,5,31,1,7,1
"ERR2836581",89,32,476,3,7,1,1,1,412,76,55,35,293,68,115,361,1,1
"ERR2836582",74,15,398,117,21,1,1,1,385,22,53,46,77,1,145,75,46,1
"ERR2836583",69,2,20,51,21,1,1,1,381,1,6,57,191,1,86,14,122,6
"ERR2836584",1,110,299,16,2,1,1,1,330,1,206,3,20,1,338,284,1,267
"ERR2836585",34,2,2,77,24,9,5,68,67,4,59,34,37,1,130,1,1,1
"ERR2836586",1,2,111,3,44,1,1,412,110,1,87,56,2,1,186,54,1,1
"ERR2836587",1,2,2,3,2,1,1,1,14,15,9,3,2,1,32,1,1,1
"ERR2836588",1,2,350,76,2,1,1,1,82,1,3,3,10,1,159,1,1,1
"ERR2836589",29,2,2,301,2,1,9,76,76,1,3,104,24,18,174,194,8,42
"ERR2836590",1,27,43,192,2,1,1,1,33,1,20,82,2,1,112,33,1,1
"ERR2836591",1,2,2,131,2,118,1,1,293,80,20,76,2,1,197,1,1,1
"ERR2836592",1,16,2,373,2,112,38,42,160,8,3,330,53,1,128,1,1,1
"ERR2836593",1,14,37,47,9,1,1,1,607,20,3,74,2,20,134,340,33,1
"ERR2836594",73,24,2,3,53,105,1,1,40,9,3,38,63,1,158,1,5,67
"ERR2836595",1,2,2,3,2,1,1,1,3,42,3,465,2,1,84,1,1,1
"ERR2836596",1,2,2,52,2,281,63,1,3,1,70,54,2,1,61,1,1,164
"ERR2836597",1,2,2,48,30,1,1,79,101,104,3,67,2,1,154,1,1,1
"ERR2836598",1,2,2,3,2,1,1,1,3,49,3,122,46,1,320,1,1,1
"ERR2836599",7,2,19,3,2,1,1,14,3,1,3,3,12,1,7,20,1,1
"ERR2836600",1,23,99,3,21,1,1,6,19,1,12,3,10,1,128,1,1,1
"ERR2836601",1,7,2,22,8,1,1,1,17,18,24,3,2,1,32,1,1,1
"ERR2836602",1,8,2,3,14,1,20,1,11,1,3,34,12,1,129,4,1,1
"ERR2836603",1,61,23,26,63,1,1,1,70,1,94,3,94,1,351,41,1,92
"ERR2836604",1,11,2,25,2,7,1,1,3,1,3,26,2,1,7,1,1,1
"ERR2836605",1,36,2,3,85,16,1,656,117,1,69,60,15,1,284,48,1,11
"ERR2836606",1,168,2,3,44,1,1,1,9,1,49,102,8,1,52,44,1,10
"ERR2836607",1,56,51,3,33,1,33,28,71,1,114,50,424,32,400,266,1,446
"ERR2836608",1,2,2,715,2,1,1,1,189,1,3,242,2,1,45,1,1,1
"ERR2836609",1,2,2,3,2,185,61,1,3,1,3,90,32,1,48,1,1,1
"ERR2836610",1,2,2,497,51,1,1,1,94,1,3,178,2,1,52,1,188,1
"ERR2836611",1,2,6,560,117,190,1,1,3,72,3,50,2,1,37,1,531,1
"ERR2836612",1,2,2,74,2,1,1,325,510,1,282,114,333,1,121,1,33,1
"ERR2836613",1,2,2,44,2,1,1,1,9,1,5,3,2,1,7,1,15,1
"ERR2836614",1,2,2,232,2,19,27,1,11,1,3,59,2,1,41,1,1,1
"ERR2836615",1,2,2,27,4,1,1,1,35,12,7,33,28,25,32,1,4,1
"ERR2836616",1,27,2,3,2,1,4,1,37,11,46,3,2,31,120,1,1,1
"ERR2836617",1,2,2,1050,2,1,1,1,7,1,3,25,50,18,227,8,155,1
"ERR2836618",1,33,271,12,110,1,1,221,170,1,304,3,32,1,163,140,1,1
"ERR2836619",61,36,342,42,119,1,1,1,77,23,3,45,2,1,157,151,1,5
"ERR2836620",1,11,2,70,20,75,66,30,59,100,3,29,2,1,24,1,1,1
"ERR2836621",1,9,2,3,2,6,9,1,3,1,3,3,2,1,24,1,1,1
"ERR2836623",14,2,2,572,2,7,20,1,729,1,3,333,2,1,70,1,1,1
"ERR2836624",133,2,9,41,53,120,1,79,245,45,8,136,2,1,35,1,1,1
"ERR2836625",1,49,2,3,107,1,1,1,3,13,3,99,59,1,166,1,328,1
"ERR2836626",1,49,4,72,49,1,13,1,49,89,9,40,2,1,157,1,1,6
"ERR2836627",1,5,2,23,2,12,1,1,17,1,3,27,2,1,27,1,44,1
"ERR2836628",1,21,28,9,2,83,1,29,44,45,12,83,2,1,22,30,1,13
"ERR2836629",1,2,42,3,4,1,1,1,14,1,44,21,2,1,72,76,1,1
"ERR2836630",1,2,2,3,2,1,1,1,3,1,3,3,2,1,7,1,1,1
"ERR2836631",1,2,2,3,2,1,1,1,36,1,104,115,19,1,51,125,1,1
"ERR2836632",1,2,2,3,2,1,1,1,3,1,15,3,2,1,60,19,1,1
"ERR2836633",49,27,2,56,23,11,1,4,3,5,69,3,37,1,100,133,1,1
"ERR2836634",43,84,2,3,2,8,1,63,526,11,25,78,38,1,231,1,1,161
"ERR2836635",1,44,2,3,2,1,1,1,43,1,3,22,2,1,107,1,118,1
"ERR2836636",1,21,2,3,2,34,1,12,33,1,24,16,2,1,89,1,1,1
"ERR2836637",1,16,2,62,19,1,1,1,38,21,3,207,2,1,36,1,1,1
"ERR2836638",206,2,2,90,2,15,1,1,104,78,15,39,2,1,113,1,1,1
"ERR2836639",1,2,2,3,2,17,1,1,3,10,3,60,2,1,18,1,28,1
"ERR2836640",12,17,2,10,2,1,17,22,31,1,3,35,2,1,135,96,1,8
"ERR2836641",6,24,37,54,2,43,39,40,3,50,21,26,17,4,28,1,28,1
"ERR2836642",1,32,93,27,2,1,1,1,3,33,86,87,40,1,217,1,1,1
"ERR2836643",1,35,2,891,42,31,1,1,314,23,3,149,2,1,7,25,259,1
"ERR2836644",107,18,446,3,2,1,1,51,165,425,60,11,2,1,234,1,1,35
"ERR2836645",1,16,2,17,56,1,1,1,65,1,20,98,2,1,74,237,9,1
"ERR2836646",1,60,2,60,2,1,1,1,426,63,69,3,7,94,177,1,124,1
"ERR2836647",53,2,172,3,24,1,1,26,93,1,44,3,22,1,120,62,1,11
"ERR2836648",47,14,4,26,30,1,1,1,69,1,29,34,73,1,43,44,1,1
"ERR2836649",223,35,50,34,104,1,1,1,149,1,571,96,72,1,311,126,1,1
"ERR2836650",1,2,2,39,10,22,1,36,24,17,3,3,279,1,60,1,1,1
"ERR2836651",1,87,2,424,12,77,1,71,37,1,3,22,2,1,75,1,52,1
"ERR2836652",94,2,2,180,44,74,1,106,69,29,14,3,4,1,226,1,1,1
"ERR2836653",1,2,60,3,4,1,1,81,19,1,3,26,2,1,30,34,1,1
"ERR2836654",1,2,2,56,2,1,1,1,3,21,3,77,2,1,21,1,1,1
"ERR2836655",1,2,2,223,2,234,1,322,79,80,78,84,40,6,246,1,44,644
"ERR2836656",1,2,2,606,50,1,1,1,3,12,3,51,2,1,34,1,1,1
"ERR2836657",181,2,2,55,5,12,23,1,124,21,7,40,2,1,7,1,36,4
"ERR2836658",21,2,86,3,2,1,1,1,3,1,9,3,2,1,7,1,1,1
"ERR2836659",77,2,2,127,2,1,1,1,12,29,3,109,21,1,7,1,1,1
"ERR2836660",1,16,2,66,2,1,22,1,3,10,12,3,2,1,78,1,1,1
"ERR2836661",1,20,2,97,2,17,1,85,77,27,24,219,2,1,109,1,1,1
"ERR2836662",1,18,2,3,116,65,1,183,37,29,49,41,8,1,131,1,1,1
"ERR2836663",1,23,37,3,2,1,1,1,55,51,69,3,18,1,97,1,1,1
"ERR2836664",1,2,2,3,2,1,1,1,39,22,57,10,2,1,51,1,37,1
"ERR2836665",1,11,2,44,2,1,1,1,3,12,3,43,2,1,88,1,1,1
"ERR2836666",1,2,2,396,2,1,1,1,3,1,3,88,2,1,7,1,53,1
"ERR2836667",140,93,5,263,2,340,1,1,103,25,61,42,2,1,166,5,1,1
"ERR2836668",1,2,2,318,2,89,1,108,90,15,3,89,2,1,67,1,148,1
"ERR2836669",1,2,2,3,26,30,1,148,3,17,3,29,15,1,135,1,1,1
"ERR2836670",34,2,2,19,2,1,1,35,7,1,3,38,2,1,7,1,15,1
"ERR2836671",1,33,2,3,28,1,1,1,3,12,113,109,2,1,7,1,1,1
"ERR2836672",1,2,2,241,2,1,1,119,3,16,52,3,2,1,56,1,21,1
"ERR2836673",1,2,2,55,2,1,1,1,3,47,74,326,2,1,44,19,328,1
"ERR2836674",93,2,2,770,2,40,1,1,405,14,8,312,2,1,24,1,29,1
"ERR2836675",1,2,2,307,2,1,1,1,1387,84,120,263,62,1,7,1,73,1
"ERR2836676",1,4,2,242,29,1,1,1,225,601,171,101,2,1,11,1,1,1
"ERR2836677",1,80,2,279,2,710,1,1,234,6,119,3,61,1,300,1,1,1
"ERR2836678",1,2,2,200,2,122,73,1,15,29,41,20,2,1,63,1,240,67
